Start,Day of week,Energy,Week Day,Year,Month,Day of month
2011-07-29 20:00:00,5,2.3562178956597983,1,2011,7,29
2011-07-29 21:00:00,5,3.287745900920649,1,2011,7,29
2011-07-29 22:00:00,5,0.6054932034195527,1,2011,7,29
2011-07-29 23:00:00,5,0.0,1,2011,7,29
2011-07-30 00:00:00,6,0.106588,0,2011,7,30
2011-07-30 01:00:00,6,0.0,0,2011,7,30
2011-07-30 02:00:00,6,0.0,0,2011,7,30
2011-07-30 03:00:00,6,0.0,0,2011,7,30
2011-07-30 04:00:00,6,0.0,0,2011,7,30
2011-07-30 05:00:00,6,0.0,0,2011,7,30
2011-07-30 06:00:00,6,0.0,0,2011,7,30
2011-07-30 07:00:00,6,0.0,0,2011,7,30
2011-07-30 08:00:00,6,2.5551975194199867,0,2011,7,30
2011-07-30 09:00:00,6,3.4843602537545273,0,2011,7,30
2011-07-30 10:00:00,6,3.4843602537545273,0,2011,7,30
2011-07-30 11:00:00,6,3.4843602537545273,0,2011,7,30
2011-07-30 12:00:00,6,1.9434987193164321,0,2011,7,30
2011-07-30 13:00:00,6,0.0,0,2011,7,30
2011-07-30 14:00:00,6,0.5240183274600149,0,2011,7,30
2011-07-30 15:00:00,6,3.493455516400099,0,2011,7,30
2011-07-30 16:00:00,6,3.1421691561398863,0,2011,7,30
2011-07-30 17:00:00,6,0.0,0,2011,7,30
2011-07-30 18:00:00,6,0.4013641230068338,0,2011,7,30
2011-07-30 19:00:00,6,1.5564008769931663,0,2011,7,30
2011-07-30 20:00:00,6,0.0,0,2011,7,30
2011-07-30 21:00:00,6,1.1615613045071451,0,2011,7,30
2011-07-30 22:00:00,6,3.1678944668376685,0,2011,7,30
2011-07-30 23:00:00,6,0.4734242286551865,0,2011,7,30
2011-07-31 00:00:00,7,0.0,0,2011,7,31
2011-07-31 01:00:00,7,0.0,0,2011,7,31
2011-07-31 02:00:00,7,0.0,0,2011,7,31
2011-07-31 03:00:00,7,0.0,0,2011,7,31
2011-07-31 04:00:00,7,1.562181729656878,0,2011,7,31
2011-07-31 05:00:00,7,3.4715149547930624,0,2011,7,31
2011-07-31 06:00:00,7,3.4715149547930624,0,2011,7,31
2011-07-31 07:00:00,7,3.4715149547930624,0,2011,7,31
2011-07-31 08:00:00,7,3.4715149547930624,0,2011,7,31
2011-07-31 09:00:00,7,1.7232214511708714,0,2011,7,31
2011-07-31 10:00:00,7,0.0,0,2011,7,31
2011-07-31 11:00:00,7,0.0,0,2011,7,31
2011-07-31 12:00:00,7,1.9045621389353058,0,2011,7,31
2011-07-31 13:00:00,7,1.8945858610646944,0,2011,7,31
2011-07-31 14:00:00,7,0.0,0,2011,7,31
2011-07-31 15:00:00,7,0.0,0,2011,7,31
2011-07-31 16:00:00,7,0.0,0,2011,7,31
